"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-10","687","E","0",",E","9","1,E","6","1,E",,,"0",",E","2",",E","0",",E","13",",E","0",",E","30",",E,29,",,,"1.78","1,,E,19,","82",",E,04,","350","E","337",",E","4.75","1,,,E","54.1",",E","66.2",",,,E","42.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-11","687","E","0",",E","11",",E","7",",E",,,"0",",E","4",",E","0",",E","0",",E","0",",E","27",",E,29,",,,"0.35",",,E,25,","66",",E,12,","893","E","543",",E","1.58",",,,E","46.9",",E","55.9",",,,E","37.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-12","687","E","0",",E","3",",E","1",",E",,,"0",",E","17",",E","0",",E","0",",E","0",",E","22",",E,30,",,,"0.48",",,E,13,","69",",E,05,","1577","E","684",",E","0.59",",,,E","42.9",",E","55.0",",,,E","30.9",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-01","0",,"0",",E","7",",E","3",",E",,,"0",",E","23",",E","0",",E","0",",E","0",",E","17",",E,11,+",,,"0.32",",,E,19,","59",",E,26,","2427",,"850",",E","0.80",",,,E","37.6",",E","49.3",",,,E","25.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-02","0",,"0",",E","2",",E","0",",E",,,"0",",E","23",",E","0",",E","2",",E","0",",E","22",",E,17,",,,"0.07",",,E,01,","73",",E,27,","3008",,"581",",E","0.09",",,,E","44.3",",E","60.3",",,,E","28.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-03","0",,"0",",E","3",",E","1",",E",,,"0",",E","19",",E","0",",E","5",",E","0",",E","23",",E,21,",,,"0.65",",,E,31,","79",",E,16,","3577",,"569",",E","0.72",",,,E","46.7",",E","62.4",",,,E","30.9",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-04","0",,"0",",E","16",",E","7",",E",,,"0",",E","3",",E","0",",E","6",",E","0",",E","28",",E,13,",,,"2.19",",,E,18,","74",",E,15,","4039",,"462",",E","3.54",",,,E","49.6",",E","60.2",",,,E","39.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-05","0",,"0",",E","6",",E","5",",E",,,"0",",E","1",",E","0",",E","16",",E","0",",E","29",",E,06,",,,"0.48",",,E,01,","85",",E,16,","4340",,"300",",E","1.36",",,,E","55.3",",E","70.0",",,,E","40.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-06","175",,"175",",E","1",",E","0",",E",,,"0",",E","0",",E","0",",E","27",",E","10",",E","34",",E,12,",,,"0.02",",,E,05,","103",",E,29,","4403",,"63",",E","0.02",",,,E","68.7",",E","85.6",",,,E","51.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-07","469",,"293",",E","6",",E","4",",E",,,"0",",E","0",",E","0",",E","31",",E","19",",E","49",",E,28,",,,"1.91",",,E,02,","99",",E,23,","0",,"0",",E","3.33",",,,E","74.5",",E","90.4",",,,E","58.5",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-08","720",,"251",",E","4",",E","2",",E",,,"0",",E","0",",E","0",",E","31",",E","15",",E","47",",E,14,",,,"0.29",",,E,30,","99",",E,05,","1",,"1",",E","0.55",",,,E","73.1",",E","88.7",",,,E","57.5",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-09","753",,"33",",E","7","3,E","0","3,E",,,"0",",E","0",",E","0",",E","28",",E","0",",E","40",",E,06,",,,"0.08","3,,E,17,","88",",E,30,","55",,"54",",E","0.25","3,,,E","64.3",",E","78.5",",,,E","50.0",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-10","285","E","7",",E","13",",E","10",",E",,,"0",",E","0",",E","0",",E","6",",E","0",",E","34",",E,28,",,,"2.22",",,E,27,","82",",E,13,","336","E","272",",E","8.26",",,,E","56.4",",E","64.2",",,,E","48.7",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-11","285","E","0",",E","14",",E","8",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","38",",E,21,",,,"0.94",",,E,05,","68",",E,17,+","746","E","410",",E","3.16",",,,E","51.3",",E","58.1",",,,E","44.6",",,,E"
