"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-01","0","E","0",",E","4",",E","2",",E",,,"0",",E","27",",E","0",",E","0",",E","0",",E","20",",E,11,",,,"0.33",",,E,15,","58",",E,25,","2488","E","821",",E","0.59",",,,E","38.5",",E","50.3",",,,E","26.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-02","0","E","0",",E","3",",E","1",",E",,,"0",",E","28",",E","2",",E","0",",E","0",",E","13",",E,21,",,,"0.13",",,E,05,","66",",E,29,","3384","E","896",",E","0.24",",,,E","34.1",",E","46.6",",,,E","21.6",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-03","0","E","0",",E","5",",E","1",",E",,,"0",",E","24",",E","0",",E","4",",E","0",",E","23",",E,19,",,,"0.15",",,E,20,","74",",E,15,","4001","E","617",",E","0.35",",,,E","45.1",",E","60.9",",,,E","29.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-04","0","E","0",",E","16",",E","8",",E",,,"0",",E","5",",E","0",",E","2",",E","0",",E","24",",E,17,",,,"0.49",",,E,12,","76",",E,27,","4514","E","513",",E","2.42",",,,E","47.9",",E","58.5",",,,E","37.3",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-05","38","E","38",",E","7",",E","3",",E",,,"0",",E","1",",E","0",",E","20",",E","2",",E","32",",E,01,",,,"0.31",",,E,20,","92",",E,11,","4690","E","176",",E","0.88",",,,E","60.5",",E","75.4",",,,E","45.6",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-06","188","E","150",",E","4",",E","3",",E",,,"0",",E","0",",E","0",",E","29",",E","7",",E","44",",E,13,",,,"1.40",",,E,19,","95",",E,27,","4718","E","27",",E","2.69",",,,E","69.1",",E","84.0",",,,E","54.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-07","353","E","165",",E","4",",E","2",",E",,,"0",",E","0",",E","0",",E","31",",E","8",",E","42",",E,02,",,,"0.43",",,E,27,","94",",E,31,+","9","E","9",",E","0.74",",,,E","70.0",",E","86.6",",,,E","53.5",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-08","646","E","293",",E","1",",E","1",",E",,,"0",",E","0",",E","0",",E","30",",E","19",",E","47",",E,31,",,,"0.28",",,E,18,","100",",E,10,","18","E","9",",E","0.30",",,,E","74.2",",E","90.3",",,,E","58.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-09","693","E","47",",E","6",",E","2",",E",,,"0",",E","0",",E","0",",E","22",",E","1",",E","39",",E,02,",,,"1.26",",,E,28,","91",",E,16,","134","E","116",",E","1.58",",,,E","62.7",",E","76.8",",,,E","48.6",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-10","696","E","4",",E","11",",E","7",",E",,,"0",",E","3",",E","0",",E","12",",E","0",",E","26",",E,29,",,,"1.48",",,E,20,","85",",E,08,","439","E","304",",E","3.22",",,,E","55.3",",E","66.9",",,,E","43.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-11","696","E","0",",E","12",",E","8",",E",,,"0",",E","7",",E","0",",E","0",",E","0",",E","24",",E,30,",,,"0.68",",,E,08,","63",",E,15,","1015","E","576",",E","2.28",",,,E","45.8",",E","54.8",",,,E","36.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2012-12","696","E","0",",E","1",",E","1",",E",,,"0",",E","23",",E","0",",E","0",",E","0",",E","18",",E,01,",,,"0.14",",,E,25,","68",",E,24,","1761","E","746",",E","0.15",",,,E","40.9",",E","52.8",",,,E","29.1",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-01","0","E","0",",E","12",",E","5",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","33",",E,11,",,,"0.21",",,E,26,","62",",E,03,","1687","E","569",",E","1.20",",,,E","46.6",",E","53.0",",,,E","40.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-02","0","E","0",",E","11",",E","9",",E",,,"0",",E","7",",E","0",",E","0",",E","0",",E","29",",E,04,",,,"1.54",",,E,05,","63",",E,28,","2323","E","636",",E","4.76",",,,E","43.1",",E","49.7",",,,E","36.4",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-03","0","E","0",",E","7",",E","4",",E",,,"0",",E","0",",E","0",",E","5",",E","0",",E","36",",E,22,",,,"0.34",",,E,18,","76",",E,25,+","2729","E","405",",E","1.06",",,,E","51.9",",E","61.2",",,,E","42.6",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-04","0","E","0",",E","26",",E","17",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","38",",E,15,",,,"1.09",",,E,14,","67",",E,25,","3208","E","479",",E","8.58",",,,E","49.0",",E","55.0",",,,E","43.0",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-05","17","E","17",",E","11",",E","5",",E",,,"0",",E","0",",E","0",",E","12",",E","0",",E","44",",E,01,",,,"0.48",",,E,19,","87",",E,10,","3401","E","193",",E","1.27",",,,E","59.3",",E","67.7",",,,E","50.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-06","56","E","38",",E","14",",E","9",",E",,,"0",",E","0",",E","0",",E","15",",E","1",",E","49",",E,13,",,,"0.54",",,E,27,","95",",E,27,","3495","E","94",",E","3.00",",,,E","63.1",",E","71.0",",,,E","55.3",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-07","100","E","44",",E","12",",E","6",",E",,,"0",",E","0",",E","0",",E","19",",E","0",",E","51",",E,01,",,,"0.25",",,E,09,","88",",E,26,","61","E","61",",E","1.13",",,,E","64.5",",E","72.3",",,,E","56.6",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-08","223","E","123",",E","5",",E","3",",E",,,"0",",E","0",",E","0",",E","30",",E","1",",E","53",",E,06,",,,"0.33",",,E,04,","92",",E,10,","69","E","8",",E","0.77",",,,E","68.7",",E","77.5",",,,E","59.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-09","277","E","54",",E","7",",E","3",",E",,,"0",",E","0",",E","0",",E","20",",E","0",",E","48",",E,26,",,,"0.41",",,E,09,","87",",E,08,","135","E","66",",E","0.98",",,,E","64.6",",E","73.4",",,,E","55.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-10","295","E","18",",E","14",",E","9",",E",,,"0",",E","0",",E","0",",E","11",",E","0",",E","37",",E,29,",,,"1.24",",,E,26,","82",",E,07,","363","E","227",",E","4.66",",,,E","58.2",",E","66.6",",,,E","49.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-11","295","E","0",",E","15",",E","12",",E",,,"0",",E","0",",E","0",",E","3",",E","0",",E","36",",E,22,",,,"1.49",",,E,17,","73",",E,15,","813","E","450",",E","6.53",",,,E","50.0",",E","56.8",",,,E","43.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2012-12","295","E","0",",E","16",",E","7",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","34",",E,09,",,,"0.41",",,E,14,","69",",E,23,","1289","E","475",",E","1.73",",,,E","49.7",",E","56.3",",,,E","43.0",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2012-01","0","E","0",",E","1",",E","0",",E",,,"0",",E","19",",E","0",",E","0",",E","0",",E","22",",E,14,",,,"0.04",",,E,28,","65",",E,23,","1592","E","650",",E","0.08",",,,E","44.0",",E","57.1",",,,E","31.0",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2012-02","0","E","0",",E","4",",E","2",",E",,,"0",",E","22",",E","0",",E","1",",E","0",",E","16",",E,05,",,,"0.35",",,E,01,","71",",E,26,","2305","E","713",",E","0.50",",,,E","40.4",",E","54.0",",,,E","26.9",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2012-03","0","E","0",",E","3",",E","2",",E",,,"0",",E","5",",E","0",",E","9",",E","0",",E","29",",E,07,",,,"0.78",",,E,22,","79",",E,30,","2734","E","429",",E","1.57",",,,E","51.2",",E","65.9",",,,E","36.4",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2012-04","0","E","0",",E","13",",E","8",",E",,,"0",",E","1",",E","0",",E","4",",E","0",",E","31",",E,17,",,,"1.00",",,E,04,","75",",E,26,","3065","E","331",",E","3.01",",,,E","53.9",",E","64.4",",,,E","43.5",",,,E"
