"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-01","0","E","0",",E","6",",E","2",",E",,,"0",",E","17",",E","0",",E","0",",E","0",",E","21",",E,09,",,,"0.39",",,E,25,","66",",E,24,","2494","E","712",",E","0.76",",,,E","42.0",",E","52.1",",,,E","32.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-02","0","E","0",",E","10",",E","5",",E",,,"0",",E","19",",E","0",",E","0",",E","0",",E","18",",E,24,",,,"0.24",",,E,04,+","63",",E,15,","3281","E","787",",E","1.19",",,,E","36.9",",E","45.7",",,,E","28.1",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-03","0","E","0",",E","13",",E","7",",E",,,"0",",E","5",",E","0",",E","1",",E","0",",E","27",",E,22,",,,"0.31",",,E,14,","71",",E,28,","3892","E","611",",E","1.41",",,,E","45.3",",E","54.2",",,,E","36.3",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-04","0","E","0",",E","11",",E","5",",E",,,"0",",E","2",",E","0",",E","13",",E","0",",E","31",",E,01,",,,"2.07",",,E,11,","79",",E,24,","4284","E","392",",E","3.85",",,,E","51.9",",E","64.5",",,,E","39.4",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-05","2","E","2",",E","13",",E","8",",E",,,"0",",E","1",",E","0",",E","16",",E","0",",E","30",",E,02,",,,"0.89",",,E,27,","81",",E,24,","4532","E","248",",E","3.35",",,,E","57.1",",E","69.3",",,,E","44.9",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-06","80","E","78",",E","8",",E","5",",E",,,"0",",E","0",",E","0",",E","25",",E","2",",E","44",",E,15,+",,,"1.46",",,E,01,","92",",E,26,","4607","E","75",",E","2.22",",,,E","65.1",",E","78.4",",,,E","51.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-07","342","E","262",",E","3",",E","1",",E",,,"0",",E","0",",E","0",",E","31",",E","17",",E","50",",E,17,",,,"0.25",",,E,21,","98",",E,26,","0","E","0",",E","0.35",",,,E","73.5",",E","89.6",",,,E","57.3",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-08","587","E","245",",E","5",",E","2",",E",,,"0",",E","0",",E","0",",E","31",",E","14",",E","49",",E,25,",,,"1.51",",,E,16,","100",",E,02,","2","E","2",",E","1.93",",,,E","72.9",",E","88.5",",,,E","57.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-09","687","E","99",",E","8",",E","3",",E",,,"0",",E","0",",E","0",",E","30",",E","1",",E","43",",E,25,",,,"0.24",",,E,17,","90",",E,23,","13","E","11",",E","0.89",",,,E","67.9",",E","82.4",",,,E","53.4",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-10","687","E","0",",E","9","1,E","6","1,E",,,"0",",E","2",",E","0",",E","13",",E","0",",E","30",",E,29,",,,"1.78","1,,E,19,","82",",E,04,","350","E","337",",E","4.75","1,,,E","54.1",",E","66.2",",,,E","42.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-11","687","E","0",",E","11",",E","7",",E",,,"0",",E","4",",E","0",",E","0",",E","0",",E","27",",E,29,",,,"0.35",",,E,25,","66",",E,12,","893","E","543",",E","1.58",",,,E","46.9",",E","55.9",",,,E","37.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2018-12","687","E","0",",E","3",",E","1",",E",,,"0",",E","17",",E","0",",E","0",",E","0",",E","22",",E,30,",,,"0.48",",,E,13,","69",",E,05,","1577","E","684",",E","0.59",",,,E","42.9",",E","55.0",",,,E","30.9",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2019-01","0",,"0",",E","7",",E","3",",E",,,"0",",E","23",",E","0",",E","0",",E","0",",E","17",",E,11,+",,,"0.32",",,E,19,","59",",E,26,","2427",,"850",",E","0.80",",,,E","37.6",",E","49.3",",,,E","25.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-01","0","E","0",",E","16",",E","10",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","36",",E,29,+",,,"0.73",",,E,07,","68",",E,03,+","1822","E","510",",E","3.94",",,,E","48.6",",E","55.3",",,,E","41.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-02","0","E","0",",E","21",",E","14",",E",,,"0",",E","8",",E","0",",E","0",",E","0",",E","26",",E,28,",,,"1.48",",,E,04,","68",",E,14,","2454","E","632",",E","7.65",",,,E","42.4",",E","48.7",",,,E","36.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-03","0","E","0",",E","23",",E","13",",E",,,"0",",E","0",",E","0",",E","1",",E","0",",E","33",",E,22,",,,"1.63",",,E,25,","71",",E,09,","2951","E","497",",E","6.48",",,,E","49.0",",E","57.3",",,,E","40.6",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-04","0","E","0",",E","16",",E","10",",E",,,"0",",E","0",",E","0",",E","4",",E","0",",E","37",",E,29,",,,"1.02",",,E,13,","77",",E,21,","3276","E","325",",E","3.83",",,,E","54.2",",E","62.5",",,,E","45.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2018-05","0","E","0",",E","15",",E","9",",E",,,"0",",E","0",",E","0",",E","7",",E","0",",E","38",",E,01,",,,"1.47",",,E,25,","72",",E,07,","3543","E","267",",E","4.64",",,,E","56.4",",E","63.8",",,,E","48.9",",,,E"
